+;2;Addition.
-;2;Subtraction.
*;2;Multiplication.
/;2;Division.
^;2;Exponentiation.
logC();2;The logarithm of the first operand, using the second as the base.
sin();1;Sine.
cos();1;Cosine.
tan();1;Tangent.
sec();1;Secant.
csc();1;Cosecant.
cot();1;Cotangent.
asin();1;Arcsine (inverse sine).
acos();1;Arccosine.
atan();1;Arctangent.
asec();1;Arcsecant.
acsc();1;Arccosecant.
acot();1;Arccotangent.
sind();1;Sine with input in degrees.
cosd();1;Cosine with input in degrees.
tand();1;Tangent with input in degrees.
secd();1;Secant with input in degrees.
cscd();1;Cosecant with input in degrees.
cotd();1;Cotangent with input in degrees.
asind();1;Arcsine (inverse sine) with input in degrees.
acosd();1;Arccosine with input in degrees.
atand();1;Arctangent with input in degrees.
asecd();1;Arcsecant with input in degrees.
acscd();1;Arccosecant with input in degrees.
acotd();1;Arccotangent with input in degrees.
min();> 1;Minimum number out of those given.
max();> 1;Maximum number out of those given.
abs();1;Absolute value.
sq();1;Square.
sqrt();1;Square root.
cb();1;Cube.
cbrt();1;Cube root.
ln();1;Natural logarithm.
log10();1;Base-10 logarithm.
This is incomplete. :P;;
